kanji,hiragana/katakana,persian,english
家族滞在ビザ,かぞくたいざいびざ,ویزای اقامت خانواده,
家賃,やちん,اجاره,
家賃は,やちんは,اجاره است,
家庭,かてい,اعضای خانه,
家庭内の,かていないの,داخلی,domestic
家庭用,かていよう,استفاده خانگی,
家電,かでん,لوازم خانگی برقی,
科学者,かがくしゃ,دانشمند,
科目,かもく,موضوع درسی,
暇,ひま,بیکار,
歌,うた,آواز,
歌う,うたう,آواز خواندن,
歌手,かしゅ,خواننده,
歌舞伎町,かぶきちょう,کابوکیچو,
火災保険料,かさいほけんりょう,حق بیمه آتش سوزی,
火山,かざん,آتشفشان,
稼ぐ,かせぐ,"بدست آوردن
در آوردن",earn
稼げる,かせげる,کسب درآمد کنید,
稼働状況,かどうじょうきょう,وضعیت عملیاتی,
稼働率,かどうりつ,نرخ اشغال,
花びら,はなびら,گلبرگ,petal
花火,はなび,آتش بازی,
花瓶,かびん,گلدان,
花粉,かふん,گرده گل,
花粉症,かぶんしょう,حساسیت فصلی,
荷造りをする,にづくりをする,بسته بندی کردن,
荷物,にもつ,بسته,
荷物を降ろす,にもつをおろす,تخلیه چمدان,
華やか,はなやか,جذاب,
課外,かがい,فوق برنامه,
課外活動,かがいかつどう,فعالیت فوق برنامه,
課外授業,かがいじゅぎょう,کلاس فوق برنامه,
貨物,かもつ,محموله,
貨物船,かもつせん,کشتی باری,
過ごす,すごす,"گذراندن زمان
بیش از حد نوشیدن",
過去問,かこもん,سوالات گذشته,
過半数,かはんすう,اکثریت,
過半数を占める,かはんすうをしめる,اکثریت را تشکیل می دهند,
過保護な親,かほごなおや,والدین بیش از حد محافظت کننده,
過労で倒れてしまった。,かろうでたおれてしまった。,از کار زیاد زمین خوردم,
過労死,かろうし,مرگ بر اثر کار زیاد,
我是你爹,わがぜ你爹,من پدر تو هستم,
我慢,がまん,"صبر،تحمل",patient
画素,がそ,پیکسل,pixel
画像,がぞう,تصویر,
画像解析,がぞうかいせき,تجزیه و تحلیل تصویر,
画面,がめん,صفحه نمایش,
介護,かいご,مراقبت های پرستاری,
介護現場,かいごげんば,مرکز مراقبت های پرستاری,
介護職等,かいごしょくとう,مراقبت های پرستاری و غیره,
介護福祉,かいごふくし,رفاه مراقبت های پرستاری,
介護福祉士,かいごふくしし,کارگر مراقب از سالمندان,
会う,あう,ملاقات کردن,
会館、ホール,かいかん,سالن اجتماعات,auditorium
会議,かいぎ,جلسه,
会社,かいしゃ,شرکت,company
会釈する,えしゃく,سلام دادن از دور,
会費,かいひ,حق عضویت,
会話,かいわ,مکالمه,
解つみです,かいつみです,دارم حل میکنم,
解決,かいけつ,مسئله 100 درصد حل شده,
解決する,かいけつ,حل کردن,
解散,かいさん,انحلال,
解析力学,かいせきりきがく,مکانیک تحلیلی,analytical mechanics
解説する,かいせつ,توضیح دادن,
解答する,かいとうする,جواب دادن,to answer
解約する,かいやく,قرارداد را لغو کنید,
回る,まわる,چرخاندن,
回数券,かいすうけん,بلیط کوپنی,
回線契約,かいせんけいやく,قرارداد خط,
回転する,かいてんする,چرخیدن,whirling
回転寿司,かいてんすし,سوشی تسمه نقاله,
回答,かいとう,جواب,
回避する,かいひする,برای جلوگیری,
回復,かいふく,بهبود یافتن,
回覧,かいらん,عبور دور برای مطالعه,
壊れやすい,こわれやすい,شکننده,fragile
壊れる,こわれる,شکستن خراب شدن,
快速,かいそく,سریع,
快適,かいてき,آسایش و راحتی,
快適に,かいてきに,راحت,comfortably
怪しい,あやしい,مشکوک,
怪我,けが,جراحت,
怪我します,けがします,صدمه دیدن,
怪物,かいぶつ,هیولا,
悔しい,くやしい,تاسف آور,
懐かしい,なつかしい,نوستالژیک,
改ざん,かいざん,"دستکاری
تحریف",
改める,あらためる,"شروع جدید ، تغییر",
改善,かいぜん,بهبود,
改定する,かいていする,تجدید نظر کنید,
改変,かいへん,"تغییر ، اصلاح",modification
海外,かいがい,خارج کشور,
海外旅行,かいがいりょこう,سفر برون مرزی,
海水面,かいすいめん,سطح دریا,
絵,え,نقاشی,
絵の具,えのぐ,ابزار نقاشی,
絵画,かいが,اثر هنری,
開く,あく,باز شدن,
開運,かいうん,آرزوی موفقیت,
開催,かいさい,برگزار شد,
開始,かいし,شروع چیزی,
開発手法,かいはつしゅほう,روش توسعه,development methods
開封,かいふう,باز کردن / جعبه گشایی,
開封する,かいふする,باز کردن پلاستیک,
開封無効,かいふうむこう,غیر قابل باز شدن,
階層,かいそう,سلسله مراتب,
階層構造,かいそうこうぞう,ساختار پیشرفته,
階段,かいだん,راه پله,
外,そと,بیرون,
外科,げか,عمل جراحی,
外交関係,がいこうかんけい,روابط دیپلماتیک,
外国,がいこく,خارج از کشور,
外国人,がいこくじん,خارجی,
外出,がいしゅつ,بیرون رفتن,
外食,がいしょく,بیرون غذا خوردن,
外食する,がいしょくする,بیرون غذا خوردن,
外相,がいしょう,وزیر امور خارجه,
外装部品,がいそうぶひん,قطعات خارجی,
外側の青葉,そとがわのあおば,برگ های سبز بیرونی,
外付け,そとつけ,خارجی,external
外部,がいぶ,خارجی,
咳,せき,سرفه,cough
概念,がいねん,مفهوم,
概要,がいよう,بررسی اجمالی,
蓋,ふた,درب قابلمه و ..,
街道,かいどう,بزرگراه,
該当する,がいとうする,"مطابقت داشتن ، مرتبط بودن",correspond
各位,かくい,همه عزیزان,
各種,かくしゅ,مختلف,
各配偶者,"かくはい
ぐうしゃ",هر زن و شوهری,
格好良い,かっこういい,خوش تیپ,
格助詞,かくじょし,ذرات مورد,
格納,かくのう,ذخیره اطلاعات,
獲得,かくとく,کسب کردن,
確かに,たしかに,مسلما,
確かめる,たしかめる,تأیید کردن,
確実に,かくじつに,به طور قطع,
確認,かくにん,بررسی و تایید,
確認する,かくにんする,مطمئن شدن,make sure
確認事項,かくにんじこう,موارد برای بررسی,
確率分布,かくりつぶんぷ,توزیع احتمال,probability distribution
確率変数,かくりつへんすう,متغیر احتمالی,random variable
確立する,かくりつする,"برقرار کردن ، ایجاد کردن",establish
覚え,おぼえ,یادآوری,
覚える,おぼえる,حفظ کردن,
覚悟,かくご,"آمادگی داشتن 
حاضر بودن برای",
角度,かくど,زاویه,
学業,がくぎょう,تحصیلی,
学校法人,がっこうほうじん,شرکت مدرسه ای,
学校名,がっこうめい,نام مدرسه,
学習,がくしゅう,مطالعه کردن,
学習者,がくしゅうしゃ,یادگیرنده,
学生,がくせい,دانش آموز,
学生割引,がくせいわりびき,تخفیف دانشجویی,
学籍番号,がくせきばんごう,شماره دانشجویی,
学年,がくねん,سال تحصیلی,
学費,がくひ,هزینه تحصیل,
学費納入,がくひのうにゅう,پرداخت شهریه,
学力検査,がくりょくけんさ,آزمون توانایی تحصیلی,
楽しい,たのしい,لذت,
楽しみ,たのしみ,مشتاقانه,
楽しみにする,たのしみにする,مشتاقانه منتظرش هستم,
楽な,らくな,آسان,
楽勝,らくしょう,برد آسان,
楽団,がくだん,ارکستر,
額,ひたい,پیشانی,
顎,あご,فک,
割り算,わりざん,تقسیم,
割る,１０を２でわる,تقسیم,
割引,わりびき,تخفیف,
割引価格,わりびきかかく,مقدار تخفیف,discounted price
割引券,わりびきけん,قبض تخفیف,
割下,わりした,واریشیتا,
割合に,わりあいに,به نسبت,
割増,わりまし,حق بیمه,
割増料金,わりましりょうきん,هزینه اضافی,
活火山,かっかざん,آتشفشان فعال,active volcano
活断層で,かつだんそう,روی گسل فعال,
活動,かつどう,فعالیت,
活発,かっぱつ,فعال ,
活躍する,かつやくする,نقش فعال داشته باشید,to be active
活用,かつよう,استفاده کردن,
渇く,かわく,خشک شدن (گلو),
滑る,すべる,سر خوردن,
株価,かぶか,قیمت سهام,
株式,かぶしき,موجودی,
株式の提供,かぶしきのていきょう,سهام,
噛む,かむ,جویدن,
鴨,かも,اردک,
乾かす,かわかす,خشک شدن,
乾燥,かんそう,خشک,
乾電池,かんでんち,باتری قلمی/سکه ای,
乾杯,かんぱい,به سلامتی,
寒い,さむい,سرد ,
寒冷化,かんれいか,خنک کننده,
勘違い,かんちがい,سوء تفاهم,
勧めます,すすめます,من توصیه می کنم,
堪る,たまる,تحمل کردن,
完成,かんせい,کامل کردن,
完成写真,"かんせい
しゃしん",عکس تکمیلی,
完全に,かんぜんに,به طور کامل,
完投,かんとう,کامل کردن (پرسشنامه,
完備,かんび,کاملا مجهز,
完了,かんりょう,کامل,complete
完璧です,かんぺきです,کامل است,
完璧な,かんぺきな,کامل و بی عیب و نقص,
寛大,かんだい,سخاوتمند,
干す,ほす,خشک کردن,
干そう,ほそう,خشک کردن,
感じ,かんじ,احساس,
感謝する,かんしゃ,قدردانی و تشکر,
感情,かんじょう,احساسات,emotions
感触,かんしょく,احساس کنید,"touch , sensation"
感染,かんせん,مبتلا شدن,
感染症,かんせんしょう,بیماری عفونی,
感動する,かんどう,تحت تأثیر قرار گرفتن,
慣れる,なれる,عادت کردن,
慣用句,かんようく,اصطلاحات,idioms
換気扇,かんきせん,فن تهویه,
敢えて,あえて,جرأت / شهامت,
歓迎,かんげい,خوش آمدی,
歓迎会,かんげいかい,"مهمانی خوش
 آمدگویی",
汗,あせ,عرق,
甘い,あまい,شیرین,
甘え,あまえ,ناز پروراندن,to be spoiled
甘える,あまえる,نوازش کردن,to be spolied
甘酸っぱい思い出,あまずっぱいおもいで,خاطرات تلخ و شیرین,
監査する,かんさする,حسابرسی,
監督者,かんとくしゃ,ناظر,supervisor
看板,かんばん,تابلو ,
管理,かんり,مدیریت,
﻿管理基準,かんりきじゅん,استاندارد های مدیریتی,
管理職,かんりしょく,"سمت مدیریتی ، شغل مدیریت",management-level employee
簡易書留郵便,かんいかきとめゆうびん,پست ثبت شده ساده,
簡単な,かんたんな,آسان,
緩やかな坂,ゆるやかなさか,شیب ملایم,
観光,かんこう,گردش,
観光地,かんこうち,منطقه توریستی,
観察,かんさつ,مشاهده ,
間に合う,まにあう,سروقت رسیدن,
間違い,まちがい,خطا / اشتباه,
間違う,まちがう,اشتباه کردن,
間取り (type),まどり(たいぷ),پلان طبقه (نوع),
間接的,かんせつてき,غیر مستقیم,
間柄,あいだがら,ارتباط,relationship
